Date : 2024-07-20 01:06:24
Directory : /home/copi143/代码/Plant-OS
Total : 4976 files,  1440650 codes, 334737 comments, 246939 blanks, all 2022326 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| apps/nasm-master/config                                                                            |          5 |        626 |        507 |        286 |      1,419 |
| apps/nasm-master/disasm                                                                            |          5 |      1,853 |        284 |        253 |      2,390 |
| apps/nasm-master/doc                                                                               |          7 |      2,236 |        549 |        277 |      3,062 |
| apps/nasm-master/include                                                                           |        169 |     28,654 |     31,175 |      7,076 |     66,905 |
| apps/nasm-master/include (Files)                                                                   |         67 |     18,741 |      4,792 |      1,818 |     25,351 |
| apps/nasm-master/include/dlg                                                                       |          2 |        239 |        159 |         66 |        464 |
| apps/nasm-master/include/freetype                                                                  |         99 |      9,590 |     26,224 |      5,181 |     40,995 |
| apps/nasm-master/include/freetype (Files)                                                          |         46 |      4,065 |     18,624 |      2,350 |     25,039 |
| apps/nasm-master/include/freetype/config                                                           |          8 |        426 |      1,721 |        417 |      2,564 |
| apps/nasm-master/include/freetype/internal                                                         |         45 |      5,099 |      5,879 |      2,414 |     13,392 |
| apps/nasm-master/include/freetype/internal (Files)                                                 |         25 |      4,367 |      5,413 |      1,953 |     11,733 |
| apps/nasm-master/include/freetype/internal/services                                                |         20 |        732 |        466 |        461 |      1,659 |
| apps/nasm-master/include/sys                                                                       |          1 |         84 |          0 |         11 |         95 |
| apps/nasm-master/macros                                                                            |          2 |      1,053 |         83 |         52 |      1,188 |
| apps/nasm-master/misc                                                                              |          7 |        772 |         40 |        161 |        973 |
| apps/nasm-master/nasmlib                                                                           |         29 |      2,522 |      1,319 |        613 |      4,454 |
| apps/nasm-master/nsis                                                                              |          1 |         58 |          8 |         11 |         77 |
| apps/nasm-master/output                                                                            |         23 |     14,664 |      3,198 |      2,190 |     20,052 |
| apps/nasm-master/perllib                                                                           |          1 |         21 |          5 |          9 |         35 |
| apps/nasm-master/stdlib                                                                            |          5 |         82 |         97 |         43 |        222 |
| apps/nasm-master/test                                                                              |        234 |     26,235 |         87 |      2,754 |     29,076 |
| apps/nasm-master/test (Files)                                                                      |        231 |     26,199 |         75 |      2,740 |     29,014 |
| apps/nasm-master/test/perf                                                                         |          3 |         36 |         12 |         14 |         62 |
| apps/nasm-master/tools                                                                             |          3 |        323 |        110 |         67 |        500 |
| apps/nasm-master/travis                                                                            |        531 |     27,740 |         30 |      2,168 |     29,938 |
| apps/nasm-master/travis (Files)                                                                    |          3 |        627 |         30 |         91 |        748 |
| apps/nasm-master/travis/test                                                                       |        528 |     27,113 |          0 |      2,077 |     29,190 |
| apps/nasm-master/x86                                                                               |         16 |     59,800 |        277 |      4,110 |     64,187 |
| apps/netgobang                                                                                     |          2 |        372 |          7 |          5 |        384 |
| apps/nettest                                                                                       |          2 |         28 |          0 |          3 |         31 |
| apps/nk                                                                                            |         10 |     24,550 |      6,321 |      2,768 |     33,639 |
| apps/paint                                                                                         |          2 |        121 |          0 |          6 |        127 |
| apps/pfn                                                                                           |          2 |         19 |          0 |          2 |         21 |
| apps/plui                                                                                          |        129 |     11,110 |      1,042 |      1,778 |     13,930 |
| apps/plui (Files)                                                                                  |          6 |        398 |        322 |         43 |        763 |
| apps/plui/include                                                                                  |         74 |      6,107 |        538 |      1,082 |      7,727 |
| apps/plui/include (Files)                                                                          |         10 |      1,019 |        224 |        200 |      1,443 |
| apps/plui/include/c                                                                                |         15 |      1,160 |        158 |        232 |      1,550 |
| apps/plui/include/c (Files)                                                                        |          8 |        818 |        124 |        171 |      1,113 |
| apps/plui/include/c/math                                                                           |          7 |        342 |         34 |         61 |        437 |
| apps/plui/include/c/math (Files)                                                                   |          5 |        277 |         34 |         52 |        363 |
| apps/plui/include/c/math/complex                                                                   |          2 |         65 |          0 |          9 |         74 |
| apps/plui/include/cpp                                                                              |         19 |      1,881 |         41 |        318 |      2,240 |
| apps/plui/include/cpp (Files)                                                                      |          6 |      1,039 |          6 |        201 |      1,246 |
| apps/plui/include/cpp/io                                                                           |          2 |          0 |         10 |          7 |         17 |
| apps/plui/include/cpp/math                                                                         |         11 |        842 |         25 |        110 |        977 |
| apps/plui/include/cpp/math (Files)                                                                 |          8 |        773 |         25 |         93 |        891 |
| apps/plui/include/cpp/math/complex                                                                 |          3 |         69 |          0 |         17 |         86 |
| apps/plui/include/pl2d                                                                             |         20 |      1,616 |         59 |        251 |      1,926 |
| apps/plui/include/pl2d (Files)                                                                     |          8 |        631 |         14 |         88 |        733 |
| apps/plui/include/pl2d/pixel                                                                       |          4 |        249 |         17 |         33 |        299 |
| apps/plui/include/pl2d/points                                                                      |          4 |        337 |          7 |         76 |        420 |
| apps/plui/include/pl2d/texture                                                                     |          4 |        399 |         21 |         54 |        474 |
| apps/plui/include/plds                                                                             |          6 |        279 |         22 |         36 |        337 |
| apps/plui/include/plds (Files)                                                                     |          3 |          5 |          6 |          3 |         14 |
| apps/plui/include/plds/server                                                                      |          3 |        274 |         16 |         33 |        323 |
| apps/plui/include/plui                                                                             |          4 |        152 |         34 |         45 |        231 |
| apps/plui/src                                                                                      |         45 |      4,421 |        174 |        622 |      5,217 |
| apps/plui/src/c                                                                                    |         11 |      1,755 |         43 |        328 |      2,126 |
| apps/plui/src/c (Files)                                                                            |          3 |        172 |          1 |          6 |        179 |
| apps/plui/src/c/crypto                                                                             |          5 |        471 |         21 |         71 |        563 |
| apps/plui/src/c/fft                                                                                |          3 |      1,112 |         21 |        251 |      1,384 |
| apps/plui/src/cpp                                                                                  |          2 |        255 |          2 |         20 |        277 |
| apps/plui/src/pl2d                                                                                 |         29 |      2,373 |        129 |        268 |      2,770 |
| apps/plui/src/pl2d (Files)                                                                         |          5 |         97 |         19 |         18 |        134 |
| apps/plui/src/pl2d/fb                                                                              |          7 |        537 |          6 |         52 |        595 |
| apps/plui/src/pl2d/pix                                                                             |         11 |      1,328 |         97 |        136 |      1,561 |
| apps/plui/src/pl2d/tex                                                                             |          6 |        411 |          7 |         62 |        480 |
| apps/plui/src/plds                                                                                 |          2 |         38 |          0 |          5 |         43 |
| apps/plui/src/plds/server                                                                          |          2 |         38 |          0 |          5 |         43 |
| apps/plui/src/plui                                                                                 |          1 |          0 |          0 |          1 |          1 |
| apps/plui/tool                                                                                     |          4 |        184 |          8 |         31 |        223 |
| apps/psh                                                                                           |          2 |        318 |          9 |          3 |        330 |
| apps/pwsh                                                                                          |          2 |        227 |          1 |          1 |        229 |
| apps/randnum                                                                                       |          2 |         50 |          0 |          2 |         52 |
| apps/sdl2                                                                                          |      1,234 |    392,884 |     81,402 |     62,151 |    536,437 |
| apps/sdl2 (Files)                                                                                  |          1 |         40 |          0 |          6 |         46 |
| apps/sdl2/SDL2                                                                                     |         87 |     22,761 |     12,224 |      3,721 |     38,706 |
| apps/sdl2/include                                                                                  |         97 |     29,335 |     21,545 |      4,512 |     55,392 |
| apps/sdl2/src                                                                                      |      1,049 |    340,748 |     47,633 |     53,912 |    442,293 |
| apps/sdl2/src (Files)                                                                              |         17 |      2,200 |        548 |        442 |      3,190 |
| apps/sdl2/src/atomic                                                                               |          2 |        378 |         78 |         64 |        520 |
| apps/sdl2/src/audio                                                                                |         77 |     19,787 |      3,715 |      3,933 |     27,435 |
| apps/sdl2/src/audio (Files)                                                                        |         12 |      7,877 |      1,059 |      1,329 |     10,265 |
| apps/sdl2/src/audio/aaudio                                                                         |          3 |        481 |         97 |         84 |        662 |
| apps/sdl2/src/audio/alsa                                                                           |          2 |        770 |        131 |        140 |      1,041 |
| apps/sdl2/src/audio/android                                                                        |          2 |        127 |         54 |         42 |        223 |
| apps/sdl2/src/audio/arts                                                                           |          2 |        263 |         71 |         65 |        399 |
| apps/sdl2/src/audio/coreaudio                                                                      |          2 |      1,081 |        104 |        207 |      1,392 |
| apps/sdl2/src/audio/directsound                                                                    |          2 |        542 |         79 |         87 |        708 |
| apps/sdl2/src/audio/disk                                                                           |          2 |        145 |         56 |         39 |        240 |
| apps/sdl2/src/audio/dsp                                                                            |          2 |        251 |         69 |         43 |        363 |
| apps/sdl2/src/audio/dummy                                                                          |          2 |         43 |         48 |         20 |        111 |
| apps/sdl2/src/audio/emscripten                                                                     |          2 |        332 |         79 |         65 |        476 |
| apps/sdl2/src/audio/esd                                                                            |          2 |        244 |         69 |         62 |        375 |
| apps/sdl2/src/audio/fusionsound                                                                    |          2 |        227 |         63 |         67 |        357 |
| apps/sdl2/src/audio/haiku                                                                          |          2 |        171 |         54 |         53 |        278 |
| apps/sdl2/src/audio/jack                                                                           |          2 |        332 |         70 |         72 |        474 |
| apps/sdl2/src/audio/n3ds                                                                           |          2 |        252 |         62 |         75 |        389 |
| apps/sdl2/src/audio/nacl                                                                           |          2 |        111 |         55 |         39 |        205 |
| apps/sdl2/src/audio/nas                                                                            |          2 |        364 |         67 |         70 |        501 |
| apps/sdl2/src/audio/netbsd                                                                         |          2 |        262 |         65 |         57 |        384 |
| apps/sdl2/src/audio/openslES                                                                       |          2 |        543 |        150 |        130 |        823 |
| apps/sdl2/src/audio/os2                                                                            |          2 |        476 |         72 |        110 |        658 |
| apps/sdl2/src/audio/paudio                                                                         |          2 |        326 |        149 |         60 |        535 |
| apps/sdl2/src/audio/pipewire                                                                       |          2 |      1,023 |        171 |        242 |      1,436 |
| apps/sdl2/src/audio/ps2                                                                            |          2 |        131 |         58 |         36 |        225 |
| apps/sdl2/src/audio/psp                                                                            |          2 |        145 |         70 |         36 |        251 |
| apps/sdl2/src/audio/pulseaudio                                                                     |          2 |        794 |        100 |        156 |      1,050 |
| apps/sdl2/src/audio/qsa                                                                            |          2 |        453 |        135 |         86 |        674 |
| apps/sdl2/src/audio/sndio                                                                          |          2 |        293 |         60 |         69 |        422 |
| apps/sdl2/src/audio/sun                                                                            |          2 |        315 |         86 |         58 |        459 |
| apps/sdl2/src/audio/vita                                                                           |          2 |        161 |         59 |         49 |        269 |
| apps/sdl2/src/audio/wasapi                                                                         |          4 |        911 |        181 |        208 |      1,300 |
| apps/sdl2/src/audio/winmm                                                                          |          2 |        341 |         72 |         77 |        490 |
| apps/sdl2/src/core                                                                                 |         59 |     16,131 |      2,222 |      2,180 |     20,533 |
| apps/sdl2/src/core/android                                                                         |          3 |      2,258 |        296 |        489 |      3,043 |
| apps/sdl2/src/core/freebsd                                                                         |          2 |        582 |        105 |         95 |        782 |
| apps/sdl2/src/core/gdk                                                                             |          2 |        182 |         67 |         39 |        288 |
| apps/sdl2/src/core/linux                                                                           |         21 |      9,071 |        771 |        885 |     10,727 |
| apps/sdl2/src/core/openbsd                                                                         |          3 |        974 |         71 |         50 |      1,095 |
| apps/sdl2/src/core/os2                                                                             |         11 |        898 |        254 |        180 |      1,332 |
| apps/sdl2/src/core/os2 (Files)                                                                     |          2 |         33 |         47 |         17 |         97 |
| apps/sdl2/src/core/os2/geniconv                                                                    |          9 |        865 |        207 |        163 |      1,235 |
| apps/sdl2/src/core/unix                                                                            |          2 |         60 |         44 |         23 |        127 |
| apps/sdl2/src/core/windows                                                                         |          9 |      1,408 |        322 |        260 |      1,990 |
| apps/sdl2/src/core/winrt                                                                           |          6 |        698 |        292 |        159 |      1,149 |
| apps/sdl2/src/cpuinfo                                                                              |          1 |      1,112 |         62 |         97 |      1,271 |
| apps/sdl2/src/dynapi                                                                               |          5 |      2,342 |        196 |         98 |      2,636 |
| apps/sdl2/src/events                                                                               |         33 |      7,479 |      1,147 |        989 |      9,615 |
| apps/sdl2/src/file                                                                                 |          5 |        832 |        155 |        171 |      1,158 |
| apps/sdl2/src/file (Files)                                                                         |          1 |        747 |         55 |        133 |        935 |
| apps/sdl2/src/file/cocoa                                                                           |          2 |         35 |         49 |         15 |         99 |
| apps/sdl2/src/file/n3ds                                                                            |          2 |         50 |         51 |         23 |        124 |
| apps/sdl2/src/filesystem                                                                           |         16 |      1,337 |        435 |        333 |      2,105 |
