Date : 2024-07-20 01:06:24
Directory : /home/copi143/代码/Plant-OS
Total : 4976 files,  1440650 codes, 334737 comments, 246939 blanks, all 2022326 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_test_font.h                                       | C              |         15 |         54 |         13 |         82 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_test_fuzzer.h                                     | C              |         37 |        300 |         48 |        385 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_test_harness.h                                    | C              |         39 |         75 |         21 |        135 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_test_images.h                                     | C              |         29 |         39 |         11 |         79 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_test_log.h                                        | C              |         13 |         45 |         10 |         68 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_test_md5.h                                        | C              |         22 |         87 |         21 |        130 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_test_memory.h                                     | C              |         13 |         40 |         11 |         64 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_test_random.h                                     | C              |         23 |         75 |         18 |        116 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_thread.h                                          | C              |        104 |        217 |         41 |        362 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_timer.h                                           | C              |         24 |         74 |         18 |        116 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_touch.h                                           | C              |         37 |         46 |         20 |        103 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_types.h                                           | C              |          1 |         26 |          3 |         30 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_version.h                                         | C              |         36 |        109 |         18 |        163 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_video.h                                           | C              |        284 |        878 |        114 |      1,276 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/SDL_vulkan.h                                          | C              |         41 |        218 |         20 |        279 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/begin_code.h                                          | C              |        120 |         38 |         13 |        171 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/SDL2/close_code.h                                          | C              |         10 |         27 |          4 |         41 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL.h                                              | C              |         59 |         62 |         16 |        137 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_assert.h                                       | C              |        126 |        134 |         32 |        292 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_atomic.h                                       | C              |         90 |        175 |         31 |        296 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_audio.h                                        | C              |        180 |        619 |         61 |        860 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_bits.h                                         | C              |         61 |         45 |         16 |        122 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_blendmode.h                                    | C              |         47 |         62 |         15 |        124 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_clipboard.h                                    | C              |         15 |         44 |         13 |         72 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config.h                                       | C              |         26 |         25 |          7 |         58 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config.h.cmake                                 | cmake          |        453 |          0 |         41 |        494 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_android.h                               | C              |        121 |         38 |         21 |        180 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_bookos.h                                | C              |        118 |         40 |         23 |        181 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_iphoneos.h                              | C              |        140 |         41 |         26 |        207 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_macosx.h                                | C              |        189 |         42 |         28 |        259 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_minimal.h                               | C              |         33 |         36 |         17 |         86 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_os2.h                                   | C              |        114 |         51 |         16 |        181 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_pandora.h                               | C              |         96 |         22 |         16 |        134 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_plos.h                                  | C              |        112 |         39 |         21 |        172 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_psp.h                                   | C              |        107 |         34 |         24 |        165 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_windows.h                               | C              |        192 |         46 |         23 |        261 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_winrt.h                                 | C              |        168 |         48 |         25 |        241 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_config_wiz.h                                   | C              |        111 |         22 |         15 |        148 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_copying.h                                      | C              |          0 |         20 |          1 |         21 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_cpuinfo.h                                      | C              |         97 |        149 |         30 |        276 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_egl.h                                          | C              |      1,172 |        322 |        183 |      1,677 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_endian.h                                       | C              |        201 |         42 |         21 |        264 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_error.h                                        | C              |         29 |         38 |         10 |         77 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_events.h                                       | C              |        403 |        302 |         88 |        793 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_filesystem.h                                   | C              |         14 |        112 |         11 |        137 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_gamecontroller.h                               | C              |        119 |        246 |         56 |        421 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_gesture.h                                      | C              |         20 |         49 |         19 |         88 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_haptic.h                                       | C              |        181 |        954 |        104 |      1,239 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_hints.h                                        | C              |        124 |      1,126 |        115 |      1,365 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_joystick.h                                     | C              |         98 |        266 |         55 |        419 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_keyboard.h                                     | C              |         38 |        154 |         26 |        218 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_keycode.h                                      | C              |        283 |         43 |         24 |        350 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_loadso.h                                       | C              |         17 |         54 |         11 |         82 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_log.h                                          | C              |         67 |        113 |         32 |        212 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_main.h                                         | C              |         45 |        104 |         32 |        181 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_messagebox.h                                   | C              |         61 |         67 |         19 |        147 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_metal.h                                        | C              |         16 |         64 |         12 |         92 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_mouse.h                                        | C              |         70 |        202 |         31 |        303 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_mutex.h                                        | C              |         45 |        166 |         41 |        252 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_name.h                                         | C              |          7 |         21 |          6 |         34 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_opengl.h                                       | C              |      1,552 |        196 |        436 |      2,184 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_opengl_glext.h                                 | C              |     10,629 |         43 |        509 |     11,181 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_opengles.h                                     | C              |         11 |         25 |          4 |         40 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_opengles2.h                                    | C              |         19 |         26 |          8 |         53 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_opengles2_gl2.h                                | C              |        470 |         86 |         66 |        622 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_opengles2_gl2ext.h                             | C              |      1,427 |        351 |        273 |      2,051 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_opengles2_gl2platform.h                        | C              |          9 |         14 |          8 |         31 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_opengles2_khrplatform.h                        | C              |         99 |        156 |         28 |        283 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_pixels.h                                       | C              |        308 |        123 |         43 |        474 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_platform.h                                     | C              |         14 |         31 |         11 |         56 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_power.h                                        | C              |         21 |         44 |         11 |         76 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_quit.h                                         | C              |          7 |         44 |          8 |         59 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_rect.h                                         | C              |         67 |         85 |         23 |        175 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_render.h                                       | C              |        219 |        845 |         95 |      1,159 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_revision.h                                     | C              |          2 |          0 |          1 |          3 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_rwops.h                                        | C              |        124 |        132 |         36 |        292 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_scancode.h                                     | C              |        255 |        124 |         35 |        414 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_sensor.h                                       | C              |         38 |        184 |         30 |        252 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_shape.h                                        | C              |         38 |         91 |         16 |        145 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_stdinc.h                                       | C              |        447 |        116 |         55 |        618 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_surface.h                                      | C              |        133 |        368 |         54 |        555 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_system.h                                       | C              |         75 |        188 |         54 |        317 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_syswm.h                                        | C              |        222 |         78 |         32 |        332 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test.h                                         | C              |         25 |         35 |         10 |         70 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_assert.h                                  | C              |         19 |         70 |         17 |        106 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_common.h                                  | C              |         86 |        106 |         27 |        219 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_compare.h                                 | C              |         14 |         44 |         12 |         70 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_crc32.h                                   | C              |         31 |         71 |         23 |        125 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_font.h                                    | C              |         15 |         54 |         13 |         82 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_fuzzer.h                                  | C              |         37 |        300 |         48 |        385 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_harness.h                                 | C              |         39 |         75 |         21 |        135 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_images.h                                  | C              |         29 |         39 |         11 |         79 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_log.h                                     | C              |         13 |         45 |         10 |         68 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_md5.h                                     | C              |         22 |         87 |         21 |        130 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_memory.h                                  | C              |         13 |         40 |         11 |         64 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_test_random.h                                  | C              |         23 |         75 |         18 |        116 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_thread.h                                       | C              |        104 |        217 |         41 |        362 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_timer.h                                        | C              |         24 |         74 |         18 |        116 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_touch.h                                        | C              |         37 |         46 |         20 |        103 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_types.h                                        | C              |          1 |         26 |          3 |         30 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_version.h                                      | C              |         36 |        109 |         18 |        163 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_video.h                                        | C              |        284 |        878 |        114 |      1,276 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/SDL_vulkan.h                                       | C              |         41 |        218 |         20 |        279 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/begin_code.h                                       | C              |        120 |         38 |         13 |        171 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/include/close_code.h                                       | C              |         10 |         27 |          4 |         41 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL.c                                                  | C              |        421 |         64 |         66 |        551 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL_assert.c                                           | C              |        330 |         46 |         64 |        440 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL_assert_c.h                                         | C              |          4 |         21 |          5 |         30 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL_dataqueue.c                                        | C              |        255 |         30 |         55 |        340 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL_dataqueue.h                                        | C              |         13 |         35 |          8 |         56 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL_error.c                                            | C              |        233 |         44 |         33 |        310 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL_error_c.h                                          | C              |         24 |         32 |         10 |         66 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL_hints.c                                            | C              |        186 |         29 |         29 |        244 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL_hints_c.h                                          | C              |          5 |         22 |          6 |         33 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL_internal.h                                         | C              |         51 |         52 |         19 |        122 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/SDL_log.c                                              | C              |        343 |         44 |         66 |        453 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/atomic/SDL_atomic.c                                    | C              |        231 |         46 |         32 |        309 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/atomic/SDL_spinlock.c                                  | C              |        131 |         32 |         29 |        192 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/SDL_audio.c                                      | C              |      1,310 |        146 |        254 |      1,710 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/SDL_audio_c.h                                    | C              |         39 |         28 |         14 |         81 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/SDL_audiocvt.c                                   | C              |      1,263 |        175 |        246 |      1,684 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/SDL_audiodev.c                                   | C              |         85 |         24 |         16 |        125 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/SDL_audiodev_c.h                                 | C              |         14 |         23 |          8 |         45 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/SDL_audiotypecvt.c                               | C              |      1,086 |        129 |        216 |      1,431 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/SDL_mixer.c                                      | C              |        309 |         29 |         32 |        370 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/SDL_sysaudio.h                                   | C              |        114 |         64 |         36 |        214 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/SDL_wave.c                                       | C              |      1,607 |        273 |        277 |      2,157 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/SDL_wave.h                                       | C              |         78 |         55 |         17 |        150 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/alsa/SDL_alsa_audio.c                            | C              |        767 |         96 |        136 |        999 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/alsa/SDL_alsa_audio.h                            | C              |         14 |         25 |         10 |         49 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/android/SDL_androidaudio.c                       | C              |        144 |         34 |         34 |        212 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/android/SDL_androidaudio.h                       | C              |         12 |         23 |          8 |         43 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/arts/SDL_artsaudio.c                             | C              |        267 |         45 |         54 |        366 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/arts/SDL_artsaudio.h                             | C              |         17 |         26 |         11 |         54 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/coreaudio/SDL_coreaudio.h                        | C              |         37 |         22 |         10 |         69 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/coreaudio/SDL_coreaudio.m                        | Objective-C    |        776 |         59 |        150 |        985 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/directsound/SDL_directsound.c                    | C              |        479 |         51 |         75 |        605 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/directsound/SDL_directsound.h                    | C              |         17 |         23 |          8 |         48 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/disk/SDL_diskaudio.c                             | C              |        140 |         33 |         35 |        208 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/disk/SDL_diskaudio.h                             | C              |         13 |         23 |          6 |         42 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/dsp/SDL_dspaudio.c                               | C              |        236 |         46 |         39 |        321 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/dsp/SDL_dspaudio.h                               | C              |         13 |         24 |          7 |         44 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/dummy/SDL_dummyaudio.c                           | C              |         30 |         25 |         11 |         66 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/dummy/SDL_dummyaudio.h                           | C              |         13 |         23 |          6 |         42 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/emscripten/SDL_emscriptenaudio.c                 | C              |        289 |         50 |         51 |        390 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/emscripten/SDL_emscriptenaudio.h                 | C              |         10 |         22 |          7 |         39 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/esd/SDL_esdaudio.c                               | C              |        241 |         43 |         52 |        336 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/esd/SDL_esdaudio.h                               | C              |         16 |         26 |         10 |         52 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/fusionsound/SDL_fsaudio.c                        | C              |        235 |         38 |         56 |        329 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/fusionsound/SDL_fsaudio.h                        | C              |         15 |         25 |         11 |         51 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/haiku/SDL_haikuaudio.cc                          | C++            |        172 |         32 |         45 |        249 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/haiku/SDL_haikuaudio.h                           | C              |         10 |         22 |          7 |         39 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/jack/SDL_jackaudio.c                             | C              |        326 |         48 |         73 |        447 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/jack/SDL_jackaudio.h                             | C              |         13 |         22 |          7 |         42 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/nacl/SDL_naclaudio.c                             | C              |        101 |         34 |         31 |        166 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/nacl/SDL_naclaudio.h                             | C              |         14 |         21 |          9 |         44 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/nas/SDL_nasaudio.c                               | C              |        358 |         44 |         62 |        464 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/nas/SDL_nasaudio.h                               | C              |         25 |         23 |          9 |         57 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/netbsd/SDL_netbsdaudio.c                         | C              |        246 |         39 |         49 |        334 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/netbsd/SDL_netbsdaudio.h                         | C              |         15 |         24 |         10 |         49 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/openslES/SDL_openslES.c                          | C              |        514 |        126 |        127 |        767 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/openslES/SDL_openslES.h                          | C              |         16 |         22 |          9 |         47 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/paudio/SDL_paudio.c                              | C              |        341 |        124 |         52 |        517 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/paudio/SDL_paudio.h                              | C              |         15 |         25 |          9 |         49 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/psp/SDL_pspaudio.c                               | C              |        112 |         44 |         26 |        182 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/psp/SDL_pspaudio.h                               | C              |         12 |         26 |          8 |         46 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/pulseaudio/SDL_pulseaudio.c                      | C              |        611 |         66 |        106 |        783 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/pulseaudio/SDL_pulseaudio.h                      | C              |         18 |         24 |         11 |         53 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/qsa/SDL_qsa_audio.c                              | C              |        486 |        102 |         79 |        667 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/qsa/SDL_qsa_audio.h                              | C              |         18 |         27 |         13 |         58 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/sndio/SDL_sndioaudio.c                           | C              |        287 |         35 |         61 |        383 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/sndio/SDL_sndioaudio.h                           | C              |         15 |         25 |         10 |         50 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/sun/SDL_sunaudio.c                               | C              |        307 |         63 |         50 |        420 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/sun/SDL_sunaudio.h                               | C              |         17 |         23 |          8 |         48 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/wasapi/SDL_wasapi.c                              | C              |        569 |         80 |        121 |        770 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/wasapi/SDL_wasapi.h                              | C              |         49 |         25 |         12 |         86 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/wasapi/SDL_wasapi_win32.c                        | C              |        324 |         57 |         77 |        458 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/wasapi/SDL_wasapi_winrt.cpp                      | C++            |        220 |         40 |         45 |        305 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/winmm/SDL_winmm.c                                | C              |        339 |         47 |         71 |        457 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/audio/winmm/SDL_winmm.h                                | C              |         16 |         22 |          8 |         46 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/android/SDL_android.c                             | C              |      2,095 |        243 |        464 |      2,802 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/android/SDL_android.h                             | C              |         74 |         44 |         30 |        148 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/android/keyinfotable.h                            | C              |        140 |         28 |          8 |        176 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_dbus.c                                  | C              |        293 |         29 |         38 |        360 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_dbus.h                                  | C              |         59 |         23 |         15 |         97 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_evdev.c                                 | C              |        627 |         72 |         99 |        798 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_evdev.h                                 | C              |         10 |         21 |          9 |         40 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_evdev_kbd.c                             | C              |        600 |         94 |        149 |        843 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_evdev_kbd.h                             | C              |          8 |         21 |          6 |         35 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_evdev_kbd_default_accents.h             | C              |        261 |         21 |          3 |        285 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_evdev_kbd_default_keymap.h              | C              |      4,739 |         21 |          4 |      4,764 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_fcitx.c                                 | C              |        276 |         23 |         75 |        374 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_fcitx.h                                 | C              |         13 |         21 |          7 |         41 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_ibus.c                                  | C              |        432 |         28 |        125 |        585 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_ibus.h                                  | C              |         16 |         30 |         13 |         59 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_ime.c                                   | C              |        108 |         24 |         21 |        153 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_ime.h                                   | C              |         13 |         21 |          7 |         41 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_threadprio.c                            | C              |         62 |         36 |         19 |        117 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_udev.c                                  | C              |        433 |         55 |         89 |        577 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/linux/SDL_udev.h                                  | C              |         81 |         26 |         19 |        126 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/unix/SDL_poll.c                                   | C              |         50 |         23 |         15 |         88 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/unix/SDL_poll.h                                   | C              |          6 |         21 |          8 |         35 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/windows/SDL_directx.h                             | C              |         67 |         29 |         16 |        112 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/windows/SDL_windows.c                             | C              |        148 |         56 |         30 |        234 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/windows/SDL_windows.h                             | C              |         30 |         31 |         15 |         76 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/windows/SDL_xinput.c                              | C              |         82 |         36 |         22 |        140 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/windows/SDL_xinput.h                              | C              |        132 |         23 |         23 |        178 |
| /home/copi143/代码/Plant-OS/apps/sdl2_old/src/core/winrt/SDL_winrtapp_common.cpp                     | C++            |         39 |         20 |          9 |         68 |
